timestamp,hour,day_of_week,month,temperature,humidity,wind_speed,cloud_cover,rainfall,weather_condition
2024-01-01 00:00:00,0,0,1,22.15,79.31,17.18,58.87,0.0,Partly Cloudy
2024-01-01 01:00:00,1,0,1,23.05,77.48,16.34,36.53,2.83,Light Rain
2024-01-01 02:00:00,2,0,1,23.16,71.71,8.58,13.08,0.0,Clear
2024-01-01 03:00:00,3,0,1,22.23,91.33,15.15,48.92,0.0,Partly Cloudy
2024-01-01 04:00:00,4,0,1,22.5,82.24,14.33,26.9,0.0,Clear
2024-01-01 05:00:00,5,0,1,22.78,75.15,15.11,9.45,0.0,Clear
2024-01-01 06:00:00,6,0,1,25.73,79.41,3.93,14.8,0.0,Clear
2024-01-01 07:00:00,7,0,1,28.02,68.05,13.08,36.6,0.0,Clear
2024-01-01 08:00:00,8,0,1,27.09,69.38,0.07,74.03,0.0,Partly Cloudy
2024-01-01 09:00:00,9,0,1,26.44,75.64,14.37,20.44,4.12,Light Rain
2024-01-01 10:00:00,10,0,1,28.81,78.49,8.96,75.64,0.0,Cloudy
2024-01-01 11:00:00,11,0,1,30.83,69.07,14.86,69.74,0.0,Partly Cloudy
2024-01-01 12:00:00,12,0,1,28.19,67.49,19.32,27.56,1.91,Light Rain
2024-01-01 13:00:00,13,0,1,29.53,68.89,9.06,63.81,0.0,Partly Cloudy
2024-01-01 14:00:00,14,0,1,24.88,72.4,8.84,35.38,0.0,Clear
2024-01-01 15:00:00,15,0,1,28.84,66.75,23.23,68.34,0.0,Partly Cloudy
2024-01-01 16:00:00,16,0,1,27.56,70.34,6.73,41.42,0.0,Partly Cloudy
2024-01-01 17:00:00,17,0,1,26.89,75.41,11.94,70.57,0.0,Partly Cloudy
2024-01-01 18:00:00,18,0,1,24.2,81.92,23.24,75.57,0.0,Cloudy
2024-01-01 19:00:00,19,0,1,23.52,84.83,18.99,44.27,0.96,Light Rain
2024-01-01 20:00:00,20,0,1,22.02,85.25,5.73,37.67,0.0,Clear
2024-01-01 21:00:00,21,0,1,23.41,79.67,22.46,10.07,0.0,Clear
2024-01-01 22:00:00,22,0,1,22.33,83.24,2.1,11.13,0.0,Clear
